Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Livro de Revisões completo,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,Possibilidade de financiamento,Tipo de cor,Classe do veículo,IUC,Inspecção válida até,Origem,Não fumador,IVA Discriminado,Autonomia Máxima,Sub-modelo,Consumo Combinado,Bateria,Garantia de Fábrica até,Capacidade da bateria,ou até,Autonomia,Consumo,Site,Portugal,Data
Profissional,Dacia,Sandero,1.5 dCi Confort,Diesel,Novembro,2015,116 462 km,1 461 cm3,90 cv,Citadino,Branco,Manual,5,5,5,Tracção dianteira,90 g/km,18 Meses,1,Sim,Sim,"3,70 l/100km","3,40 l/100km",Usados,,10 900,8090226696,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-sandero-1-5-dci-confort-ID8PwLxm.html,,,,Classe 1,,15 Novembro 2024,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Junho,2019,63 000 km,1 242 cm3,69 cv,Citadino,Azul,Manual,5,3,4,Tracção dianteira,99 g/km,18 Meses,1,Sim,Sim,"6,20 l/100km","4,20 l/100km",Usados,Mostrar VIN,12 480,8091629013,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-s-s-ID8PBEln.html,Sim,Sim,Metalizado,Classe 1,111 €,15 Junho 2025,Nacional,Sim,Sim,850 km,,,,,,,,,StandVirtual,Yes,2024-03-05
Particular,Skoda,Fabia Break,1.0 Active Plus,Gasolina,Abril,2017,98 000 km,999 cm3,75 cv,Carrinha,Cinzento,Manual,,5,,,,,,,Sim,"5,80 l/100km",,Usados,,8 900,8091824329,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/skoda-fabia-break-1-0-active-plus-ID8PCt9D.html,,,,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Peugeot,308,1.6 BlueHDi Allure J17 EAT6,Diesel,Julho,2016,199 329 km,1 560 cm3,120 cv,Utilitário,Preto,Automática,,5,5,,,18 Meses,,,Sim,,,Usados,,14 890,8091438422,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-6-bluehdi-allure-j17-eat6-ID8PAQLk.html,,Sim,,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Citroën,C3,1.2 VTi Seduction J16,Gasolina,Abril,2015,81 368 km,1 199 cm3,82 cv,Utilitário,Outra,Manual,,5,5,,107 g/km,18 Meses,1,Sim,Sim,,,Usados,,10 190,8091931893,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-vti-seduction-j16-ID8PCW8x.html,,,,,,15 Abril 2025,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Mercedes-Benz,A 180,,Diesel,Janeiro,2014,340 000 km,1 461 cm3,116 cv,Utilitário,Branco,Manual,,5,5,,,18 Meses,,,Sim,,,Usados,,12 500,8091877209,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-ID8PCGUx.html,,Sim,,Classe 1,,,Nacional,,,,Classe A,,,,,,,,StandVirtual,Yes,2024-03-05
Particular,Opel,Mokka,1.6 CDTI ecoFLEX S&S Edition,Diesel,Julho,2015,116 702 km,1 598 cm3,136 cv,SUV / TT,Cinzento,Manual,6,5,5,Tracção dianteira,106 g/km,,,,Sim,"4,70 l/100km","3,80 l/100km",Usados,,14 250,8091693591,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-mokka-1-6-cdti-ecoflex-s-s-edition-ID8PBW8X.html,,,Metalizado,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Renault,Captur,0.9 TCE Exclusive,Gasolina,Março,2019,81 000 km,898 cm3,90 cv,SUV / TT,Vermelho,Manual,,5,5,,,24 Meses,,,Sim,,,Usados,,13 990,8091843874,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-0-9-tce-exclusive-ID8PCyeS.html,Sim,Sim,Metalizado,Classe 1,,,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Smart,ForTwo Coupé,0.9 Passion 90,Gasolina,Setembro,2016,83 000 km,898 cm3,90 cv,Citadino,Branco,Manual,,3,2,,,18 Meses,,,Sim,,,Usados,,11 900,8091507102,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-0-9-passion-90-ID8PB8D4.html,Sim,Sim,,Classe 1,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Citroën,C4 Grand Picasso,1.6 e-HDi Seduction,Diesel,Julho,2014,200 000 km,1 560 cm3,115 cv,Monovolume,Cinzento,Manual,6,5,7,Tracção dianteira,105 g/km,18 Meses,1,Sim,Sim,,,Usados,Mostrar VIN,9 750,8091868124,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-grand-picasso-1-6-e-hdi-seduction-ID8PCEy0.html,,Sim,,Classe 1,,,Importado,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Nissan,Micra,1.0 IG-T N-Connecta,Gasolina,Fevereiro,2019,43 374 km,999 cm3,100 cv,Citadino,Branco,Manual,5,5,5,Tracção dianteira,128 g/km,18 Meses,1,Sim,Sim,"5,60 l/100km","3,90 l/100km",Usados,Mostrar VIN,13 900,8090338407,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-0-ig-t-n-connecta-ID8PveB9.html,Sim,Sim,,Classe 1,,,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Fiat,500,1.0 Hybrid Dolcevita,Gasolina,Março,2022,30 000 km,999 cm3,70 cv,Citadino,Cinzento,Manual,,3,5,,,36 Meses,,Sim,Sim,,,Usados,,13 750,8091877199,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-dolcevita-ID8PCGUn.html,,Sim,Metalizado,,,,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Kia,Rio,1.0 T-GDI 100 Vision,Gasolina,Agosto,2020,83 928 km,998 cm3,100 cv,Utilitário,Azul,Manual,5,5,5,,115 g/km,18 Meses,,,,,,Usados,Mostrar VIN,13 900,8091560686,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/kia-rio-1-0-t-gdi-100-vision-ID8PBmzk.html,Sim,Sim,Metalizado,Classe 1,,,Importado,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Ford,Fiesta,1.5 TDCi Connected,Diesel,Agosto,2019,92 260 km,1 499 cm3,85 cv,Utilitário,Prateado,Manual,6,5,5,,93 g/km,18 Meses,,,,,,Usados,Mostrar VIN,14 900,8090917403,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-connected-ID8PyFdN.html,Sim,Sim,Metalizado,Classe 1,,,Importado,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Smart,ForTwo Coupé,0.9 Passion 90 Aut,Gasolina,Abril,2016,110 000 km,898 cm3,90 cv,Coupé,Cinzento,Automática,6,3,2,Tracção traseira,96 g/km,18 Meses,,Sim,,"5,90 l/100km","4,50 l/100km",Usados,Mostrar VIN,10 500,8091884858,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-0-9-passion-90-aut-ID8PCITU.html,,Sim,Metalizado,Classe 1,"111,46 €",,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Opel,Insignia Sports Tourer,1.6 CDTi Executive Active-Select,Diesel,Julho,2016,138 000 km,1 598 cm3,136 cv,Carrinha,Cinzento,Automática,,5,5,Tracção dianteira,,18 Meses,1,Sim,Sim,"6,50 l/100km",,Usados,Mostrar VIN,15 000,8091175449,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-1-6-cdti-executive-active-select-ID8PzKlP.html,,Sim,Metalizado,Classe 1,,,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Dacia,Sandero,0.9 TCe SL Stepway of Life Easy-R,Gasolina,Setembro,2017,77 540 km,898 cm3,90 cv,SUV / TT,Azul,Automática,,5,5,Tracção dianteira,,18 Meses,1,Sim,Sim,,,Usados,,14 900,8091815699,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-sl-stepway-of-life-easy-r-ID8PCqUr.html,,Sim,Metalizado,Classe 1,,9 Setembro 2025,,Sim,,,,4 l/100km,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Fiat,Punto,1.2 Lounge S&S,Gasolina,Outubro,2016,76 178 km,1 242 cm3,69 cv,Utilitário,Cinzento,Manual,,5,5,,,18 Meses,,,Sim,,,Usados,,9 199,8091560851,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-punto-1-2-lounge-s-s-ID8PBmBZ.html,,Sim,,Classe 1,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Fiat,500C,1.2 8V Lounge,Gasolina,Abril,2014,142 000 km,1 242 cm3,69 cv,Cabrio,Branco,Manual,,2,,,,18 Meses,,,,"6,20 l/100km",,Usados,,9 990,8091841509,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-8v-lounge-ID8PCxCJ.html,Sim,Sim,Metalizado,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Dacia,Logan MCV,0.9 TCe Comfort,Gasolina,Outubro,2016,81 000 km,898 cm3,90 cv,Carrinha,Branco,Manual,5,5,5,,,18 Meses,,,Sim,,,Usados,,10 500,8091875282,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-logan-mcv-0-9-tce-comfort-ID8PCGps.html,,Sim,,Classe 1,,,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Fiat,Panda,1.2 Lounge 118g,Gasolina,Outubro,2019,64 000 km,1 242 cm3,69 cv,Utilitário,Branco,Manual,5,5,5,Tracção dianteira,118 g/km,18 Meses,1,Sim,Sim,"6,70 l/100km","4,30 l/100km",Usados,Mostrar VIN,9 980,8091606022,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-2-lounge-118g-ID8PBymy.html,,,,Classe 1,108 €,15 Outubro 2025,Nacional,Sim,,850 km,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Renault,Clio Sport Tourer,,Diesel,Janeiro,2018,161 548 km,1 461 cm3,90 cv,Carrinha,Vermelho,Manual,5,5,5,Tracção dianteira,82 g/km,18 Meses,,,,,,Usados,,12 750,8091774284,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-ID8PCg8s.html,Sim,Sim,Metalizado,Classe 1,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Mercedes-Benz,A 160,d Style,Diesel,Março,2016,196 114 km,1 461 cm3,90 cv,Utilitário,Preto,Manual,6,5,5,,98 g/km,18 Meses,,,Sim,,,Usados,,14 950,8091521852,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-160-d-style-ID8PBcsY.html,Sim,Sim,,Classe 1,,,Nacional,Sim,,,Classe A,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,SEAT,Arona,1.0 TSI Xcellence,Gasolina,Março,2018,144 850 km,999 cm3,115 cv,SUV / TT,Cinzento,Manual,,5,5,,,18 Meses,,Sim,Sim,,,Usados,,14 900,8091898887,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-xcellence-ID8PCMyb.html,,Sim,,Classe 1,,,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Smart,ForTwo Coupé,EQ Passion,Eléctrico,Novembro,2020,25 139 km,,82 cv,Citadino,Preto,Automática,,3,2,Tracção traseira,,18 Meses,,Sim,Sim,,,Usados,,14 800,8091617657,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-eq-passion-ID8PBBod.html,,Sim,Metalizado,Classe 1,,23 Novembro 2024,,,Sim,,,,Própria,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Fiat,Tipo,1.3 M-Jet Lounge Tech J17,Diesel,Setembro,2018,230 000 km,1 248 cm3,95 cv,Utilitário,Cinzento,Manual,5,5,5,Tracção dianteira,,18 Meses,1,,,,,Usados,,9 150,8091876985,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-tech-j17-ID8PCGQW.html,Sim,Sim,Metalizado,Classe 1,116 €,19 Setembro 2024,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Particular,Opel,Astra Sports Tourer,1.6 CDTi Cosmo S/S,Diesel,Outubro,2014,113 000 km,1 598 cm3,136 cv,Carrinha,Preto,Manual,6,5,5,Tracção dianteira,104 g/km,,1,Sim,Sim,"4,60 l/100km","3,60 l/100km",Usados,,13 500,8091002053,3 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-cosmo-s-s-ID8Pz1f7.html,,,Metalizado,Classe 1,,31 Outubro 2024,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Particular,Renault,Clio,1.5 Blue dCi Limited,Diesel,Julho,2019,69 512 km,1 461 cm3,100 cv,Citadino,Branco,Manual,,5,,,,,,,,,,Usados,,15 000,8091414619,2 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-blue-dci-limited-ID8PAKzp.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Particular,Opel,Corsa,1.0 T Color Edition,Gasolina,Maio,2015,83 000 km,999 cm3,115 cv,Citadino,Cinzento,Manual,6,5,5,Tracção dianteira,115 g/km,,2,Sim,Sim,6 l/100km,"4,30 l/100km",Usados,Mostrar VIN,10 900,8091922870,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-0-t-color-edition-ID8PCSN0.html,,,Metalizado,,111 €,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Particular,Nissan,Qashqai,1.5 dCi 360 Pack S,Diesel,Janeiro,2015,162 500 km,1 461 cm3,110 cv,SUV / TT,Cinzento,Manual,,5,5,,,,,,,"4,20 l/100km",,Usados,,14 431,8091587174,2 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-5-dci-360-pack-s-ID8PBtsy.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Fiat,Punto,1.2 Lounge S&S,Gasolina,Outubro,2016,76 178 km,1 242 cm3,69 cv,Utilitário,Cinzento,Manual,,5,5,,,18 Meses,,,Sim,,,Usados,,9 199,8091560851,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-punto-1-2-lounge-s-s-ID8PBmBZ.html,,Sim,,Classe 1,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Fiat,500C,1.2 8V Lounge,Gasolina,Abril,2014,142 000 km,1 242 cm3,69 cv,Cabrio,Branco,Manual,,2,,,,18 Meses,,,,"6,20 l/100km",,Usados,,9 990,8091841509,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-8v-lounge-ID8PCxCJ.html,Sim,Sim,Metalizado,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Dacia,Logan MCV,0.9 TCe Comfort,Gasolina,Outubro,2016,81 000 km,898 cm3,90 cv,Carrinha,Branco,Manual,5,5,5,,,18 Meses,,,Sim,,,Usados,,10 500,8091875282,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-logan-mcv-0-9-tce-comfort-ID8PCGps.html,,Sim,,Classe 1,,,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Fiat,Panda,1.2 Lounge 118g,Gasolina,Outubro,2019,64 000 km,1 242 cm3,69 cv,Utilitário,Branco,Manual,5,5,5,Tracção dianteira,118 g/km,18 Meses,1,Sim,Sim,"6,70 l/100km","4,30 l/100km",Usados,Mostrar VIN,9 980,8091606022,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-2-lounge-118g-ID8PBymy.html,,,,Classe 1,108 €,15 Outubro 2025,Nacional,Sim,,850 km,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Renault,Clio Sport Tourer,,Diesel,Janeiro,2018,161 548 km,1 461 cm3,90 cv,Carrinha,Vermelho,Manual,5,5,5,Tracção dianteira,82 g/km,18 Meses,,,,,,Usados,,12 750,8091774284,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-ID8PCg8s.html,Sim,Sim,Metalizado,Classe 1,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Mercedes-Benz,A 160,d Style,Diesel,Março,2016,196 114 km,1 461 cm3,90 cv,Utilitário,Preto,Manual,6,5,5,,98 g/km,18 Meses,,,Sim,,,Usados,,14 950,8091521852,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-160-d-style-ID8PBcsY.html,Sim,Sim,,Classe 1,,,Nacional,Sim,,,Classe A,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,SEAT,Arona,1.0 TSI Xcellence,Gasolina,Março,2018,144 850 km,999 cm3,115 cv,SUV / TT,Cinzento,Manual,,5,5,,,18 Meses,,Sim,Sim,,,Usados,,14 900,8091898887,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-xcellence-ID8PCMyb.html,,Sim,,Classe 1,,,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Smart,ForTwo Coupé,EQ Passion,Eléctrico,Novembro,2020,25 139 km,,82 cv,Citadino,Preto,Automática,,3,2,Tracção traseira,,18 Meses,,Sim,Sim,,,Usados,,14 800,8091617657,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-eq-passion-ID8PBBod.html,,Sim,Metalizado,Classe 1,,23 Novembro 2024,,,Sim,,,,Própria,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Fiat,Tipo,1.3 M-Jet Lounge Tech J17,Diesel,Setembro,2018,230 000 km,1 248 cm3,95 cv,Utilitário,Cinzento,Manual,5,5,5,Tracção dianteira,,18 Meses,1,,,,,Usados,,9 150,8091876985,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-tech-j17-ID8PCGQW.html,Sim,Sim,Metalizado,Classe 1,116 €,19 Setembro 2024,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Opel,Astra Sports Tourer,1.4 T Innovation Act.S/S,Gasolina,Junho,2018,160 000 km,1 399 cm3,150 cv,Carrinha,Preto,Automática,6,5,5,Tracção dianteira,125 g/km,18 Meses,,,,,,Usados,Mostrar VIN,10 980,8091867778,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-4-t-innovation-act-s-s-ID8PCEsq.html,,Sim,,Classe 1,,11 Junho 2024,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,SEAT,Ibiza,SC 1.4 TDi FR,Diesel,Abril,2017,135 000 km,1 422 cm3,105 cv,Citadino,Branco,Manual,5,3,5,Tracção dianteira,100 g/km,18 Meses,,Sim,Sim,"4,40 l/100km","3,90 l/100km",Usados,Mostrar VIN,14 990,8091587191,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-sc-1-4-tdi-fr-ID8PBtsP.html,Sim,Sim,,,,5 Abril 2025,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Ford,Focus SW,,Diesel,Julho,2016,259 000 km,1 498 cm3,120 cv,Carrinha,Branco,Manual,,5,,,,18 Meses,1,Sim,Sim,"4,30 l/100km",,Usados,,8 650,8091628350,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-ID8PBEaG.html,,Sim,Metalizado,,,,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Smart,ForTwo Coupé,1.0 Passion 71 Aut.,Gasolina,Junho,2018,104 215 km,999 cm3,71 cv,Citadino,Preto,Automática,,3,2,,,18 Meses,,,Sim,,,Usados,,11 900,8090920184,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-passion-71-aut-ID8PyFVE.html,Sim,Sim,,Classe 1,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Fiat,500,1.0 Hybrid Dolcevita,Gasolina,Fevereiro,2022,7 060 km,999 cm3,70 cv,Citadino,Cinzento,Manual,5,3,4,Tracção dianteira,,18 Meses,1,Sim,Sim,,,Usados,,14 900,8091885282,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-dolcevita-ID8PCJ0K.html,Sim,Sim,,Classe 1,,3 Fevereiro 2026,,Sim,,,,4 l/100km,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Peugeot,308 SW,1.5 BlueHDi Style,Diesel,Maio,2019,128 000 km,1 499 cm3,102 cv,Carrinha,Preto,Manual,6,5,5,,,18 Meses,,Sim,Sim,,,Usados,Mostrar VIN,13 750,8091877179,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-style-ID8PCGU3.html,Sim,Sim,Metalizado,Classe 1,,,Nacional,Sim,Sim,,,,,,,,,,StandVirtual,Yes,2024-03-05
