Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Número de Mudanças,Tracção,Emissões CO2,Consumo Urbano,Consumo Extra Urbano,Autonomia Máxima,Registo(s),Livro de Revisões completo,Inspecção válida até,IUC,Consumo Combinado,Sub-modelo,Filtro de partículas,Autonomia,Consumo,Garantia de Fábrica até,ou até,IVA Discriminado,Capacidade da bateria,Bateria,Clássico,Gancho de Reboque,Tempo de carregamento,Site,Portugal,Data
Profissional,Smart,ForTwo Coupé,1.0 mhd Passion 71,Gasolina,Agosto,2013,91 206 km,999 cm3,71 cv,,Sim,Sim,Pequeno citadino,Branco,Metalizado,Automática,3,2,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,9 350        EUR,8089353497,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-mhd-passion-71-ID8Ps6nw.html,,Tracção dianteira,99 g/km,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Ford,B-Max,1.0 EcoBoost Titanium,Gasolina,Fevereiro,2017,84 200 km,998 cm3,100 cv,,Sim,Sim,Monovolume,Castanho,Metalizado,Manual,5,5,Classe 1,18 Meses,,,Sim,Usados,14 290        EUR,8088429972,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-b-max-1-0-ecoboost-titanium-ID8Poe7V.html,5,Tracção dianteira,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Smart,ForTwo Coupé,1.0 Passion 71,Gasolina,Janeiro,2015,61 565 km,999 cm3,71 cv,,Sim,Sim,Pequeno citadino,Branco,Metalizado,Manual,3,2,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,10 550        EUR,8088438225,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-passion-71-ID8Pogh3.html,5,Tracção dianteira,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,VW,Polo,1.2 TSi Lounge,Gasolina,Maio,2015,125 842 km,1 197 cm3,90 cv,,Sim,Sim,Citadino,Preto,,Manual,5,5,,18 Meses,,,Sim,Usados,12 990        EUR,8088534452,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-2-tsi-lounge-ID8PoFj6.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Citroën,C4 Cactus,,Diesel,Novembro,2014,135 641 km,1 560 cm3,92 cv,,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,5,5,Classe 1,18 Meses,Nacional,,Sim,Usados,13 890        EUR,8088677555,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-ID8Ppgxd.html,6,Tracção dianteira,92 g/km,,,,,Sim,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Ford,KA,1.2 Titanium X,Gasolina,Julho,2015,121 749 km,1 242 cm3,69 cv,,Sim,Sim,Pequeno citadino,Vermelho,,Manual,3,4,Classe 1,18 Meses,,,Sim,Usados,8 690        EUR,8088772592,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-ka-1-2-titanium-x-ID8PpFg4.html,5,Tracção dianteira,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Smart,ForFour,1.0 Passion 71,Gasolina,Março,2015,47 000 km,999 cm3,71 cv,,Sim,Sim,Citadino,Branco,,Manual,5,4,,18 Meses,Importado,,Sim,Usados,10 900        EUR,8090253442,29 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-1-0-passion-71-ID8PwSuK.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Fiat,500L,Living 1.6 MJ S&S,Diesel,Maio,2016,106 728 km,1 598 cm3,120 cv,,Sim,Sim,Monovolume,Cinzento,,Manual,5,7,Classe 1,18 Meses,,,Sim,Usados,14 950        EUR,8089584627,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500l-living-1-6-mj-s-s-ID8Pt4wp.html,6,,,,,,,Sim,02/05/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Ford,Focus SW,1.5 TDCi Titanium,Diesel,Maio,2018,220 000 km,1 499 cm3,120 cv,,Sim,Sim,Carrinha,Branco,Metalizado,Manual,5,5,,18 Meses,,,,Usados,11 480        EUR,8090703886,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-titanium-ID8PxLFY.html,,,,"4,30 l/100km",,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,VW,Passat Variant,2.0 TDi Highline Navig,Diesel,Agosto,2013,199 673 km,1 968 cm3,140 cv,Sim,Sim,Sim,Carrinha,Preto,,Manual,5,5,Classe 1,18 Meses,Importado,,,Usados,13 990        EUR,8089904117,29 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-2-0-tdi-highline-navig-ID8PupCt.html,6,Tracção dianteira,,"5,60 l/100km",4 l/100km,,,,19/08/2023,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,SEAT,Ibiza,SC 1.2 TSi Style,Gasolina,Novembro,2013,110 702 km,1 197 cm3,105 cv,,Sim,Sim,Citadino,Branco,Metalizado,Manual,3,5,Classe 1,18 Meses,,Sim,Sim,Usados,10 390        EUR,8088772573,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-sc-1-2-tsi-style-ID8PpFfL.html,5,Tracção dianteira,,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,208,1.2 PureTech Allure,Gasolina,Março,2016,138 456 km,1 199 cm3,110 cv,,Sim,Sim,Utilitário,Branco,Pérola,Manual,3,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,13 690        EUR,8087935615,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-allure-ID8Pm9vr.html,5,Tracção dianteira,99 g/km,,,,,,,"108,32 €",,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Opel,Corsa,1.2 Enjoy,Gasolina,Agosto,2010,153 699 km,1 229 cm3,85 cv,,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,8 590        EUR,8088327806,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-2-enjoy-ID8PnNy6.html,5,Tracção dianteira,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,107,1.0 Black&Silver E5,Gasolina,Dezembro,2010,46 309 km,998 cm3,68 cv,,Sim,,Pequeno citadino,Cinzento,,Manual,5,4,,18 Meses,Nacional,Sim,Sim,Usados,7 750        EUR,8090690717,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-107-1-0-black-silver-e5-ID8PxIfz.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Renault,Zoe,Intens,Eléctrico,Dezembro,2016,82 000 km,,88 cv,,,,Citadino,Branco,,Automática,5,5,,,,,Sim,Usados,11 500        EUR,8088403971,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-zoe-intens-ID8Po7mz.html,,,,,,150 km,,,,,,,,147 km,"12,20 kWh/100km",,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Mégane Sport Tourer,,Diesel,Março,2015,172 780 km,1 461 cm3,110 cv,,,Sim,Carrinha,Branco,Metalizado,Manual,5,5,,36 Meses,,,,Usados,11 980        EUR,8090153975,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-ID8PwsCr.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Smart,ForTwo Coupé,1.0 Passion 71,Gasolina,Dezembro,2014,76 528 km,999 cm3,71 cv,Sim,,,Coupé,Preto,,Manual,3,,,18 Meses,Nacional,,,Usados,11 990        EUR,8090590315,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-passion-71-ID8Pxi8b.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Opel,Insignia Sports Tourer,,Diesel,Abril,2014,181 480 km,1 956 cm3,140 cv,,,Sim,Carrinha,Cinzento,Metalizado,Manual,5,5,,36 Meses,,,,Usados,12 860        EUR,8090153986,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-ID8PwsCC.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,208,1.4 HDi Active,Diesel,Junho,2012,118 000 km,1 398 cm3,68 cv,,,,Citadino,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,9 990        EUR,8090676165,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-4-hdi-active-ID8PxEsR.html,5,Tracção dianteira,98 g/km,"4,40 l/100km","3,40 l/100km",,,,14/06/2024,147 €,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited,Diesel,Julho,2018,122 000 km,1 461 cm3,90 cv,,Sim,Sim,Carrinha,Vermelho,,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,13 500        EUR,8090660851,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-ID8PxAtR.html,5,,,,,,1,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,SEAT,Ibiza,,Diesel,Junho,2011,220 000 km,1 199 cm3,75 cv,,,Sim,Citadino,Cinzento,Metalizado,Manual,5,,,,,,,Usados,5 450        EUR,8090573488,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-ID8PxdKM.html,,,,"4,10 l/100km",,,,,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Citroën,DS3,1.6 e-HDi Airdream Sport Chic,Diesel,Janeiro,2013,172 106 km,1 560 cm3,112 cv,,,,Citadino,Preto,,Manual,3,,,,,,,Usados,11 500        EUR,8090710449,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds3-1-6-e-hdi-airdream-sport-chic-ID8PxNnP.html,6,Tracção dianteira,109 g/km,"5,40 l/100km","3,50 l/100km",,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Smart,ForFour,1.0 Passion 71,Gasolina,Julho,2015,110 000 km,999 cm3,71 cv,Sim,Sim,,Citadino,Preto,Metalizado,Manual,5,4,Classe 1,18 Meses,Nacional,,Sim,Usados,9 990        EUR,8088538420,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-1-0-passion-71-ID8PoGl6.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Smart,ForTwo Coupé,cdi softouch pulse dpf,Diesel,Junho,2012,169 000 km,799 cm3,54 cv,,Sim,Sim,Cabrio,Preto,Metalizado,Automática,2,2,Classe 1,18 Meses,Importado,,Sim,Usados,8 900        EUR,8090731405,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-cdi-softouch-pulse-dpf-ID8PxSPP.html,5,Tracção dianteira,87 g/km,"3,40 l/100km",,,2,,06/06/2024,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-10-01
